AGE5P Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Total
Tamworth,3829,4337,4538,4102,3316,3918,4062,3835,3519,3694,3764,3809,3832,3528,3242,2413,1763,970,471,123,16,63070
Temora,321,351,423,361,286,220,294,276,286,357,352,422,440,427,441,312,226,131,89,19,3,6034
Tenterfield,265,302,384,312,243,225,255,253,316,399,423,493,701,719,672,390,242,124,65,21,0,6810
The Hills,11078,14738,14852,13071,11436,8835,10497,15214,15616,14419,12706,11105,9903,8981,7876,5466,3254,1755,821,232,21,191876
Tweed,4623,5544,5917,5118,4096,4102,4768,5623,5541,6146,5966,6584,7432,7080,6533,4983,3486,2309,1144,342,49,97392
Upper Hunter,757,910,984,822,671,746,910,876,834,951,834,935,998,893,755,549,397,252,119,30,3,14229
Upper Lachlan,470,511,430,452,330,340,383,434,405,519,602,773,734,630,603,407,263,155,60,10,0,8514
Uralla,299,341,413,360,242,267,278,294,310,386,439,458,494,442,403,273,144,69,40,6,0,5971
Wagga Wagga,4578,4554,4616,4627,5171,4982,4712,4449,3780,3766,3789,3665,3729,3288,2812,2038,1491,967,459,128,17,67609
Walcha,166,185,159,147,117,133,139,128,134,184,178,220,240,255,230,183,139,50,24,4,0,3016
Walgett,327,340,303,278,228,310,318,252,262,282,373,370,465,391,323,223,126,54,26,4,0,5253
Warren,166,160,167,132,121,105,161,113,128,131,171,182,201,135,168,123,85,50,27,4,3,2550
Warrumbungle,473,484,594,523,325,429,428,420,404,498,603,714,694,724,706,527,346,223,96,20,0,9225
Waverley,3774,3463,3586,2899,3322,7459,8654,6476,5143,4755,4106,3282,2845,2286,2338,1632,1218,768,450,150,12,68605
Weddin,165,192,216,197,119,143,149,144,190,210,234,291,288,283,301,219,133,79,54,12,0,3608
Wentworth,482,492,459,422,353,386,417,453,377,488,477,561,539,497,447,282,185,81,42,14,0,7453
Willoughby,3946,5182,5151,4193,3951,4358,5015,6366,6365,5837,4993,4411,3753,3412,3113,2090,1516,1085,625,223,26,75613
Wingecarribee,2567,2880,3355,2976,2155,2169,2580,2646,2688,3253,3499,3572,3664,3751,4021,3143,2022,1133,463,140,24,52709
Wollondilly,3765,3926,4026,3712,3188,3081,3454,3550,3348,3759,3587,3215,3096,2682,2320,1517,944,495,191,73,5,53961
Wollongong,12083,12688,12932,13032,15784,14450,13971,13580,13176,13780,13057,13285,12785,10980,9926,7601,5710,3567,1706,432,44,214564
Woollahra,2437,2636,2885,2670,2918,4184,4222,3812,3404,3451,3537,3228,2945,2622,2948,2298,1586,969,522,211,24,53496
Yass Valley,928,1195,1298,1133,780,739,853,1045,1132,1334,1372,1170,1132,993,904,574,365,194,119,19,3,17281
