Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"MRERD Mortgage Repayments (monthly) Ranges","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,799","$2,800-$2,999","$3,000-$3,499","$3,500-$3,999","$4,000-$4,999","$5,000 and over","Not stated","Not applicable","Nil repayments","Total",
"Greater Hume",9,22,50,49,108,147,148,169,132,130,71,92,23,29,38,20,41,9,29,26,94,3020,68,4519,
"Griffith",11,23,66,59,112,205,270,406,314,293,181,257,78,39,79,39,108,21,48,38,181,7903,107,10836,
"Gunnedah",8,14,32,42,85,118,164,185,159,147,82,132,50,23,57,23,74,20,21,27,110,3870,80,5532,
"Gwydir",0,6,23,36,39,41,42,36,30,16,8,11,5,5,3,0,16,0,7,10,33,1779,70,2224,
"Hawkesbury",77,79,128,122,226,257,393,508,486,681,553,1016,534,446,723,436,1166,461,628,528,684,15810,293,26216,
"Hay",0,0,17,21,50,39,27,28,16,15,5,10,0,0,4,0,8,0,0,0,16,1100,11,1370,
"Hilltops",15,25,64,90,182,252,270,263,200,151,99,124,32,29,38,14,52,20,21,30,133,6275,102,8485,
"Hornsby",228,162,258,212,325,425,653,695,749,834,732,1762,951,986,1026,681,2573,1499,2757,2470,1351,34325,819,56462,
"Hunters Hill",9,10,7,12,13,23,34,28,35,22,20,93,28,36,42,16,120,75,182,578,111,3512,79,5090,
"Inner West",184,139,236,198,303,446,612,675,656,813,742,1541,748,881,953,700,2439,1491,2868,3950,1151,58319,731,80771,
"Inverell",14,33,56,85,176,216,282,273,156,127,86,130,35,26,39,13,40,12,28,24,100,5786,75,7807,
"Junee",4,6,25,21,64,73,92,75,61,54,33,49,14,5,12,0,16,9,10,13,36,1691,43,2402,
"Kempsey",30,46,125,95,204,271,370,424,288,332,190,245,113,35,86,36,106,27,25,26,225,10094,107,13487,
"Kiama",37,31,47,29,60,84,91,151,138,149,141,289,134,115,212,96,339,117,178,132,161,6791,102,9619,
"Ku-ring-gai",169,77,160,140,182,210,413,322,332,344,312,945,383,569,479,344,1544,886,2172,5004,1141,28489,796,45415,
"Kyogle",17,21,54,54,90,90,116,116,85,81,39,68,19,8,19,7,21,9,13,16,70,3335,21,4367,
"Lachlan",7,13,33,35,67,67,54,49,19,31,16,15,8,4,7,0,13,0,10,9,52,2101,57,2665,
"Lake Macquarie",268,308,567,496,831,1112,1512,2122,2211,2897,2309,3945,1840,1218,2042,946,2193,593,939,631,1755,57319,823,88882,
"Lane Cove",43,29,54,30,50,69,137,109,147,139,141,420,229,265,240,166,562,273,521,1134,323,11271,201,16552,
"Leeton",8,17,45,40,98,145,170,159,119,101,51,98,48,16,44,9,39,6,12,14,96,3243,56,4641,
"Lismore",65,73,129,168,295,389,481,651,561,634,401,567,213,114,198,79,239,63,100,70,326,13772,173,19755,
"Lithgow",19,34,85,61,112,208,256,277,252,239,125,237,67,45,119,41,122,34,56,29,135,6777,72,9419,
"Liverpool",210,181,354,317,521,767,1014,1429,1418,1858,1454,3330,1765,1651,2164,1180,3591,1162,1553,943,2132,49949,903,79856,
"Liverpool Plains",7,8,21,44,72,101,80,76,56,52,17,35,14,9,16,10,24,4,8,15,59,2675,29,3436,
"Lockhart",3,5,8,25,42,35,28,41,22,23,16,20,8,5,7,0,5,3,11,8,24,992,35,1367,
"Maitland",109,106,195,186,319,488,741,1104,1244,1507,1235,1702,780,489,736,311,779,203,295,202,706,22377,269,36088,
"Mid-Coast",106,144,309,294,550,759,879,1156,964,979,623,897,354,231,386,163,369,98,181,138,640,34808,337,45345,
"Mid-Western",30,42,97,83,124,180,226,309,261,367,239,372,131,77,162,59,178,54,90,61,189,7842,71,11241,
"Moree Plains",0,11,39,30,72,94,130,122,89,115,36,65,12,18,19,5,27,10,19,11,87,4607,82,5709,
"Mosman",28,19,27,22,23,47,70,59,58,61,54,165,65,95,69,45,239,118,266,1173,236,9229,195,12368,
"Murray River",13,17,44,44,100,102,138,143,111,159,96,112,27,14,48,10,43,14,21,29,103,4127,56,5585,
"Murrumbidgee",4,3,15,20,53,39,33,33,24,20,5,15,0,0,3,0,5,0,4,9,27,1183,41,1529,
"Muswellbrook",16,15,36,38,110,124,193,247,240,248,126,200,60,29,85,35,91,15,32,30,127,4791,48,6947,
"Nambucca Valley",21,36,86,78,146,200,197,257,201,207,124,180,57,35,57,30,61,16,25,21,134,7441,59,9679,
"Narrabri",6,20,24,43,88,130,166,180,146,125,70,108,32,26,37,19,41,9,16,9,108,4158,61,5603,
"Narrandera",10,7,31,40,72,112,70,76,44,33,15,28,7,7,9,0,14,0,7,5,46,1820,28,2476,
"Narromine",6,8,24,19,61,92,72,75,52,49,21,45,6,12,14,5,13,10,15,13,44,2009,57,2701,
"Newcastle",204,183,354,311,549,804,1032,1468,1515,1978,1541,2590,1284,886,1314,626,1650,481,888,685,1194,50604,614,72746,
"North Sydney",57,45,58,57,87,112,185,202,185,215,189,441,236,298,238,203,675,426,799,1391,394,27828,326,34645,
