Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by FINF Total Family Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FINF Total Family Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Negative income","Total",
"Goulburn Mulwaree",40,34,47,157,202,606,483,559,713,512,522,1117,850,609,400,179,264,147,101,44,25,7607,
"Greater Hume",20,10,19,70,65,233,162,209,254,177,183,378,265,213,128,54,65,45,25,18,11,2606,
"Griffith",30,30,49,134,120,368,361,463,559,431,545,1037,707,492,329,166,174,161,84,43,30,6311,
"Gunnedah",20,19,16,74,83,223,197,227,253,176,193,394,308,258,183,73,133,89,46,22,18,3001,
"Gwydir",5,12,9,43,43,169,117,119,108,71,80,127,76,52,31,10,17,15,6,7,20,1140,
"Hawkesbury",82,78,95,284,331,915,801,988,1266,980,1164,2556,2037,1649,1121,584,792,642,455,148,62,17044,
"Hay",3,7,4,22,21,52,53,58,66,44,46,94,55,30,18,11,23,11,8,4,8,621,
"Hilltops",32,44,38,148,148,469,390,421,428,302,303,611,384,275,138,58,84,59,68,42,29,4469,
"Hornsby",217,197,192,586,532,1429,1429,1919,2282,1806,1910,4612,3673,3890,2793,1740,3533,3077,3101,818,60,39794,
"Hunters Hill",9,14,3,39,32,84,74,124,130,97,112,275,221,209,172,117,389,355,475,362,10,3291,
"Inner West",178,149,181,547,500,1418,1304,1759,2180,1728,1933,4805,3877,3912,3197,1832,4288,3680,4766,1848,93,44175,
"Inverell",32,35,29,156,144,483,398,388,461,283,310,579,291,208,141,56,59,34,24,26,28,4153,
"Junee",3,8,10,27,45,109,102,114,126,89,112,177,140,108,60,24,34,25,16,3,8,1340,
"Kempsey",53,47,85,264,284,956,768,756,848,508,455,847,507,330,175,79,97,62,43,31,27,7210,
"Kiama",30,24,33,94,101,374,342,455,545,317,379,821,629,535,355,199,359,283,178,75,11,6134,
"Ku-ring-gai",209,170,136,401,395,838,823,1236,1469,1114,1376,3066,2319,2506,1805,1182,3537,3425,4277,2104,65,32465,
"Kyogle",18,25,36,85,102,278,231,252,241,164,150,255,130,90,36,25,34,27,18,17,12,2220,
"Lachlan",23,16,5,42,44,156,104,106,111,102,114,169,112,81,30,17,30,10,20,18,9,1315,
"Lake Macquarie",239,274,330,1075,1243,4111,3708,4304,4695,3336,3421,7755,6086,4986,3111,1616,2103,1696,1171,357,145,55762,
"Lane Cove",37,43,29,89,89,179,206,290,404,377,407,1011,850,876,669,403,1156,981,1391,695,14,10191,
"Leeton",14,17,33,64,87,193,175,189,267,161,191,399,264,187,118,46,61,40,22,25,20,2568,
"Lismore",49,56,94,247,320,850,845,959,1136,767,800,1581,1068,666,379,174,251,152,104,47,24,10558,
"Lithgow",37,28,43,164,157,509,414,414,462,285,310,622,436,326,190,107,171,106,75,35,21,4902,
"Liverpool",242,380,525,1294,1478,3704,3394,3903,4506,3529,3600,7713,5790,4519,3023,1779,1990,1675,1095,273,253,54679,
"Liverpool Plains",9,9,16,67,73,185,159,171,174,115,106,237,112,112,64,26,43,29,14,8,4,1728,
"Lockhart",9,0,4,20,23,71,59,73,86,54,62,104,65,56,22,13,17,13,4,6,3,762,
"Maitland",75,97,135,441,498,1650,1462,1647,1847,1423,1572,3602,2635,2099,1270,659,838,643,468,120,42,23223,
"Mid-Coast",201,194,245,839,782,3356,2564,2719,2836,1602,1639,2777,1623,1106,585,273,385,258,178,134,132,24428,
"Mid-Western",43,31,51,148,158,524,416,442,496,374,381,865,635,506,278,173,213,203,125,44,17,6127,
"Moree Plains",6,9,18,79,83,178,148,205,201,147,164,363,266,173,114,62,57,65,46,38,16,2439,
"Mosman",26,20,14,54,62,106,144,211,239,258,219,597,479,473,403,205,941,745,1070,869,14,7153,
"Murray River",32,22,21,78,72,344,268,282,325,184,221,398,251,206,139,42,88,48,35,27,20,3112,
"Murrumbidgee",11,6,4,16,14,55,54,59,75,57,75,125,66,41,37,7,20,9,6,10,4,759,
"Muswellbrook",18,30,35,100,137,276,234,276,273,221,229,512,373,364,195,114,171,113,68,21,17,3783,
"Nambucca Valley",33,45,49,175,200,713,519,514,562,308,312,516,316,231,123,44,92,39,27,23,18,4873,
"Narrabri",20,16,25,69,96,219,197,229,210,169,191,434,293,246,145,66,98,56,32,20,21,2847,
"Narrandera",10,6,10,53,39,149,100,112,136,83,100,174,99,82,35,19,20,17,10,10,8,1270,
"Narromine",13,12,15,49,34,120,103,104,118,103,82,207,130,89,47,24,42,15,21,6,11,1351,
"Newcastle",135,173,206,597,803,2291,2191,2574,2992,2313,2436,5500,4341,3841,2516,1348,1924,1597,1395,447,73,39695,
"North Sydney",58,52,47,133,144,292,313,483,647,516,634,1693,1371,1565,1217,732,2350,1627,2357,1056,25,17319,
